Freq.	V(vout)
1.00000000000000e+00	(7.29604947100100e-04dB,-4.90314214066193e+00°)
1.02329299228075e+00	(8.72327559142036e-04dB,-5.01772315411504e+00°)
1.04712854805090e+00	(1.02144792554195e-03dB,-5.13499965623549e+00°)
1.07151930523761e+00	(1.17723582743527e-03dB,-5.25503632444157e+00°)
1.09647819614318e+00	(1.33997069311926e-03dB,-5.37789947700681e+00°)
1.12201845430196e+00	(1.50994175598955e-03dB,-5.50365712077006e+00°)
1.14815362149688e+00	(1.68744819121453e-03dB,-5.63237900062088e+00°)
1.17489755493953e+00	(1.87279922726061e-03dB,-5.76413665084744e+00°)
1.20226443461741e+00	(2.06631422818146e-03dB,-5.89900344843898e+00°)
1.23026877081238e+00	(2.26832274175044e-03dB,-6.03705466844023e+00°)
1.25892541179417e+00	(2.47916450830593e-03dB,-6.17836754146105e+00°)
1.28824955169313e+00	(2.69918942426551e-03dB,-6.32302131345041e+00°)
1.31825673855641e+00	(2.92875745392505e-03dB,-6.47109730785023e+00°)
1.34896288259165e+00	(3.16823848199897e-03dB,-6.62267899025160e+00°)
1.38038426460288e+00	(3.41801209896010e-03dB,-6.77785203568265e+00°)
1.41253754462275e+00	(3.67846731013624e-03dB,-6.93670439866520e+00°)
1.44543977074593e+00	(3.95000215833235e-03dB,-7.09932638618549e+00°)
1.47910838816821e+00	(4.23302324912811e-03dB,-7.26581073373206e+00°)
1.51356124843621e+00	(4.52794516632051e-03dB,-7.43625268456373e+00°)
1.54881661891248e+00	(4.83518976385404e-03dB,-7.61075007237908e+00°)
1.58489319246111e+00	(5.15518531918719e-03dB,-7.78940340756961e+00°)
1.62181009735893e+00	(5.48836553113373e-03dB,-7.97231596724854e+00°)
1.65958690743756e+00	(5.83516834381161e-03dB,-8.15959388925862e+00°)
1.69824365246174e+00	(6.19603457597769e-03dB,-8.35134627037356e+00°)
1.73780082874937e+00	(6.57140633316492e-03dB,-8.54768526892009e+00°)
1.77827941003892e+00	(6.96172517737349e-03dB,-8.74872621206010e+00°)
1.81970085860998e+00	(7.36743002673653e-03dB,-8.95458770798567e+00°)
1.86208713666287e+00	(7.78895475437895e-03dB,-9.16539176329350e+00°)
1.90546071796325e+00	(8.22672545264865e-03dB,-9.38126390582006e+00°)
1.94984459975804e+00	(8.68115732544016e-03dB,-9.60233331323311e+00°)
1.99526231496888e+00	(9.15265116732805e-03dB,-9.82873294769132e+00°)
2.04173794466953e+00	(9.64158938403926e-03dB,-1.00605996968994e+01°)
2.08929613085404e+00	(1.01483315041304e-02dB,-1.02980745219031e+01°)
2.13796208950223e+00	(1.06732091266207e-02dB,-1.05413026119841e+01°)
2.18776162394955e+00	(1.12165202434960e-02dB,-1.07904335470342e+01°)
2.23872113856834e+00	(1.17785228701291e-02dB,-1.10456214678037e+01°)
2.29086765276777e+00	(1.23594279094104e-02dB,-1.13070252544371e+01°)
2.34422881531992e+00	(1.29593911682939e-02dB,-1.15748087137278e+01°)
2.39883291901949e+00	(1.35785044368574e-02dB,-1.18491407755393e+01°)
2.45470891568503e+00	(1.42167855312132e-02dB,-1.21301956988590e+01°)
2.51188643150958e+00	(1.48741671915095e-02dB,-1.24181532879662e+01°)
2.57039578276886e+00	(1.55504847154627e-02dB,-1.27131991192117e+01°)
2.63026799189538e+00	(1.62454621958276e-02dB,-1.30155247789201e+01°)
2.69153480392691e+00	(1.69586972171740e-02dB,-1.33253281129396e+01°)
2.75422870333816e+00	(1.76896438529778e-02dB,-1.36428134883728e+01°)
2.81838293126445e+00	(1.84375937883164e-02dB,-1.39681920680301e+01°)
2.88403150312660e+00	(1.92016553762286e-02dB,-1.43016820981522e+01°)
2.95120922666638e+00	(1.99807304170004e-02dB,-1.46435092099451e+01°)
3.01995172040201e+00	(2.07734884290556e-02dB,-1.49939067354681e+01°)
3.09029543251359e+00	(2.15783381577381e-02dB,-1.53531160384021e+01°)
3.16227766016837e+00	(2.23933960436010e-02dB,-1.57213868602035e+01°)
3.23593656929628e+00	(2.32164513452444e-02dB,-1.60989776821247e+01°)
3.31131121482591e+00	(2.40449275826834e-02dB,-1.64861561035370e+01°)
3.38844156139202e+00	(2.48758399353469e-02dB,-1.68831992369415e+01°)
3.46736850452531e+00	(2.57057481948008e-02dB,-1.72903941199852e+01°)
3.54813389233575e+00	(2.65307048347905e-02dB,-1.77080381447124e+01°)
3.63078054770101e+00	(2.73461977210241e-02dB,-1.81364395041728e+01°)
3.71535229097172e+00	(2.81470869396655e-02dB,-1.85759176563791e+01°)
3.80189396320560e+00	(2.89275351765156e-02dB,-1.90268038054416e+01°)
3.89045144994280e+00	(2.96809310286324e-02dB,-1.94894413995163e+01°)
3.98107170553496e+00	(3.03998045763701e-02dB,-1.99641866449688e+01°)
4.07380277804112e+00	(3.10757344859613e-02dB,-2.04514090358769e+01°)
4.16869383470335e+00	(3.16992458522120e-02dB,-2.09514918976692e+01°)
4.26579518801592e+00	(3.22596979259075e-02dB,-2.14648329433038e+01°)
4.36515832240165e+00	(3.27451608029911e-02dB,-2.19918448399379e+01°)
4.46683592150962e+00	(3.31422800816721e-02dB,-2.25329557835018e+01°)
4.57088189614874e+00	(3.34361284206799e-02dB,-2.30886100779684e+01°)
4.67735141287197e+00	(3.36100428566489e-02dB,-2.36592687153849e+01°)
4.78630092322637e+00	(3.36454466634099e-02dB,-2.42454099518918e+01°)
4.89778819368445e+00	(3.35216544604657e-02dB,-2.48475298739894e+01°)
5.01187233627271e+00	(3.32156592054813e-02dB,-2.54661429481930e+01°)
5.12861383991364e+00	(3.27018996365461e-02dB,-2.61017825459458e+01°)
5.24807460249771e+00	(3.19520066689834e-02dB,-2.67550014341967e+01°)
5.37031796370252e+00	(3.09345271998535e-02dB,-2.74263722203907e+01°)
5.49540873857623e+00	(2.96146237369845e-02dB,-2.81164877387423e+01°)
5.62341325190348e+00	(2.79537482522140e-02dB,-2.88259613625362e+01°)
5.75439937337156e+00	(2.59092886670402e-02dB,-2.95554272248203e+01°)
5.88843655355588e+00	(2.34341864209877e-02dB,-3.03055403271933e+01°)
6.02559586074356e+00	(2.04765236563630e-02dB,-3.10769765134351e+01°)
6.16595001861481e+00	(1.69790786893283e-02dB,-3.18704322814659e+01°)
6.30957344480192e+00	(1.28788486375780e-02dB,-3.26866244035551e+01°)
6.45654229034654e+00	(8.10653835398825e-03dB,-3.35262893208269e+01°)
6.60693448007594e+00	(2.58601518950448e-03dB,-3.43901822739538e+01°)
6.76082975391980e+00	(-3.76627040478307e-03dB,-3.52790761275262e+01°)
6.91830970918935e+00	(-1.10418978062333e-02dB,-3.61937598409836e+01°)
7.07945784384136e+00	(-1.93411212739525e-02dB,-3.71350365342918e+01°)
7.24435960074988e+00	(-2.87735447656417e-02dB,-3.81037210918544e+01°)
