Freq.	V(vout)
1.00000000000000e+00	(-2.49550047067399e-03dB,-5.47231688242565e+00°)
1.02329299228075e+00	(-2.50416421227873e-03dB,-5.60018069736816e+00°)
1.04712854805090e+00	(-2.51366380336380e-03dB,-5.73105113540486e+00°)
1.07151930523761e+00	(-2.52407988146435e-03dB,-5.86500023927990e+00°)
1.09647819614318e+00	(-2.53550086314205e-03dB,-6.00210187183418e+00°)
1.12201845430196e+00	(-2.54802369425047e-03dB,-6.14243176834625e+00°)
1.14815362149688e+00	(-2.56175467260583e-03dB,-6.28606759077782e+00°)
1.17489755493953e+00	(-2.57681035015826e-03dB,-6.43308898401352e+00°)
1.20226443461741e+00	(-2.59331852177461e-03dB,-6.58357763419073e+00°)
1.23026877081238e+00	(-2.61141930974400e-03dB,-6.73761732921918e+00°)
1.25892541179417e+00	(-2.63126635275939e-03dB,-6.89529402159658e+00°)
1.28824955169313e+00	(-2.65302810930271e-03dB,-7.05669589363180e+00°)
1.31825673855641e+00	(-2.67688928689169e-03dB,-7.22191342519360e+00°)
1.34896288259165e+00	(-2.70305240903371e-03dB,-7.39103946410879e+00°)
1.38038426460288e+00	(-2.73173953333239e-03dB,-7.56416929934111e+00°)
1.41253754462275e+00	(-2.76319413487238e-03dB,-7.74140073708877e+00°)
1.44543977074593e+00	(-2.79768317149945e-03dB,-7.92283417994612e+00°)
1.47910838816821e+00	(-2.83549934762839e-03dB,-8.10857270928260e+00°)
1.51356124843621e+00	(-2.87696359670925e-03dB,-8.29872217100041e+00°)
1.54881661891248e+00	(-2.92242780243253e-03dB,-8.49339126484046e+00°)
1.58489319246111e+00	(-2.97227778215262e-03dB,-8.69269163741527e+00°)
1.62181009735893e+00	(-3.02693655746756e-03dB,-8.89673797915647e+00°)
1.65958690743756e+00	(-3.08686794021068e-03dB,-9.10564812537350e+00°)
1.69824365246174e+00	(-3.15258046291875e-03dB,-9.31954316163108e+00°)
1.73780082874937e+00	(-3.22463168828354e-03dB,-9.53854753366134e+00°)
1.77827941003892e+00	(-3.30363293265549e-03dB,-9.76278916203850e+00°)
1.81970085860998e+00	(-3.39025444451276e-03dB,-9.99239956185277e+00°)
1.86208713666287e+00	(-3.48523108056312e-03dB,-1.02275139676325e+01°)
1.90546071796325e+00	(-3.58936852753811e-03dB,-1.04682714637726e+01°)
1.94984459975804e+00	(-3.70355012249219e-03dB,-1.07148151207397e+01°)
1.99526231496888e+00	(-3.82874432743830e-03dB,-1.09672921373341e+01°)
2.04173794466953e+00	(-3.96601292279007e-03dB,-1.12258539892987e+01°)
2.08929613085404e+00	(-4.11651998656191e-03dB,-1.14906565845777e+01°)
2.13796208950223e+00	(-4.28154173541643e-03dB,-1.17618604255337e+01°)
2.18776162394955e+00	(-4.46247730940590e-03dB,-1.20396307784456e+01°)
2.23872113856834e+00	(-4.66086059028040e-03dB,-1.23241378506130e+01°)
2.29086765276777e+00	(-4.87837315134919e-03dB,-1.26155569754052e+01°)
2.34422881531992e+00	(-5.11685844741141e-03dB,-1.29140688055924e+01°)
2.39883291901949e+00	(-5.37833736089678e-03dB,-1.32198595153071e+01°)
2.45470891568503e+00	(-5.66502523425325e-03dB,-1.35331210109809e+01°)
2.51188643150958e+00	(-5.97935052740934e-03dB,-1.38540511516016e+01°)
2.57039578276886e+00	(-6.32397525528540e-03dB,-1.41828539786333e+01°)
2.63026799189538e+00	(-6.70181737131593e-03dB,-1.45197399559321e+01°)
2.69153480392691e+00	(-7.11607528094736e-03dB,-1.48649262199778e+01°)
2.75422870333816e+00	(-7.57025468365265e-03dB,-1.52186368407249e+01°)
2.81838293126445e+00	(-8.06819796155788e-03dB,-1.55811030933497e+01°)
2.88403150312660e+00	(-8.61411635109273e-03dB,-1.59525637411401e+01°)
2.95120922666638e+00	(-9.21262515593988e-03dB,-1.63332653297323e+01°)
3.01995172040201e+00	(-9.86878228215070e-03dB,-1.67234624928478e+01°)
3.09029543251359e+00	(-1.05881304008779e-02dB,-1.71234182696210e+01°)
3.16227766016837e+00	(-1.13767430703351e-02dB,-1.75334044335293e+01°)
3.23593656929628e+00	(-1.22412751776965e-02dB,-1.79537018328461e+01°)
3.31131121482591e+00	(-1.31890180912229e-02dB,-1.83846007424225e+01°)
3.38844156139202e+00	(-1.42279599462527e-02dB,-1.88264012264723e+01°)
3.46736850452531e+00	(-1.53668515224595e-02dB,-1.92794135118753e+01°)
3.54813389233575e+00	(-1.66152782074417e-02dB,-1.97439583713294e+01°)
3.63078054770101e+00	(-1.79837385798204e-02dB,-2.02203675154597e+01°)
3.71535229097172e+00	(-1.94837301859722e-02dB,-2.07089839927437e+01°)
3.80189396320560e+00	(-2.11278431279315e-02dB,-2.12101625958087e+01°)
3.89045144994280e+00	(-2.29298621232299e-02dB,-2.17242702723153e+01°)
3.98107170553496e+00	(-2.49048777442240e-02dB,-2.22516865382457e+01°)
4.07380277804112e+00	(-2.70694075903658e-02dB,-2.27928038909508e+01°)
4.16869383470335e+00	(-2.94415281947207e-02dB,-2.33480282187883e+01°)
4.26579518801592e+00	(-3.20410185111995e-02dB,-2.39177792035801e+01°)
4.36515832240165e+00	(-3.48895158767728e-02dB,-2.45024907114253e+01°)
4.46683592150962e+00	(-3.80106853832306e-02dB,-2.51026111666260e+01°)
4.57088189614874e+00	(-4.14304036340870e-02dB,-2.57186039025918e+01°)
4.67735141287197e+00	(-4.51769578944364e-02dB,-2.63509474825863e+01°)
4.78630092322637e+00	(-4.92812616673870e-02dB,-2.70001359820438e+01°)
4.89778819368445e+00	(-5.37770877454454e-02dB,-2.76666792229213e+01°)
5.01187233627271e+00	(-5.87013197860419e-02dB,-2.83511029491250e+01°)
5.12861383991364e+00	(-6.40942234444101e-02dB,-2.90539489304779e+01°)
5.24807460249771e+00	(-6.99997380572355e-02dB,-2.97757749809470e+01°)
5.37031796370252e+00	(-7.64657898055288e-02dB,-3.05171548749257e+01°)
5.49540873857623e+00	(-8.35446271845749e-02dB,-3.12786781432649e+01°)
5.62341325190348e+00	(-9.12931794687273e-02dB,-3.20609497284665e+01°)
5.75439937337156e+00	(-9.97734386689215e-02dB,-3.28645894759911e+01°)
5.88843655355588e+00	(-1.09052865233388e-01dB,-3.36902314360168e+01°)
6.02559586074356e+00	(-1.19204817425508e-01dB,-3.45385229472222e+01°)
6.16595001861481e+00	(-1.30309003916731e-01dB,-3.54101234713038e+01°)
6.30957344480192e+00	(-1.42451958643539e-01dB,-3.63057031440114e+01°)
6.45654229034654e+00	(-1.55727536382717e-01dB,-3.72259410055757e+01°)
6.60693448007594e+00	(-1.70237426786635e-01dB,-3.81715228705849e+01°)
6.76082975391980e+00	(-1.86091683771435e-01dB,-3.91431387947721e+01°)
6.91830970918935e+00	(-2.03409266159472e-01dB,-4.01414800939381e+01°)
7.07945784384136e+00	(-2.22318584325402e-01dB,-4.11672358685361e+01°)
7.24435960074988e+00	(-2.42958046276337e-01dB,-4.22210889865186e+01°)
7.41310241300916e+00	(-2.65476595106763e-01dB,-4.33037114771312e+01°)
7.58577575029182e+00	(-2.90034228106426e-01dB,-4.44157592897574e+01°)
7.76247116628690e+00	(-3.16802485975415e-01dB,-4.55578663750125e+01°)
7.94328234724279e+00	(-3.45964898633184e-01dB,-4.67306380504370e+01°)
8.12830516164097e+00	(-3.77717372032338e-01dB,-4.79346436207756e+01°)
8.31763771102669e+00	(-4.12268498250062e-01dB,-4.91704082333765e+01°)
8.51138038202374e+00	(-4.49839769003019e-01dB,-5.04384039631497e+01°)
8.70963589956078e+00	(-4.90665670704266e-01dB,-5.17390401391730e+01°)
8.91250938133743e+00	(-5.34993637371136e-01dB,-5.30726529467763e+01°)
9.12010839355907e+00	(-5.83083836243244e-01dB,-5.44394943649770e+01°)
9.33254300796988e+00	(-6.35208760048861e-01dB,-5.58397205295295e+01°)
9.54992586021433e+00	(-6.91652599654706e-01dB,-5.72733796463920e+01°)
9.77237220955808e+00	(-7.52710371558753e-01dB,-5.87403996186021e+01°)
9.99999999999997e+00	(-8.18686776551123e-01dB,-6.02405755905005e+01°)
1.02329299228075e+01	(-8.89894769082964e-01dB,-6.17735576556432e+01°)
1.04712854805090e+01	(-9.66653821628748e-01dB,-6.33388390167865e+01°)
1.07151930523760e+01	(-1.04928787474092e+00dB,-6.49357449257350e+01°)
1.09647819614318e+01	(-1.13812297163184e+00dB,-6.65634227648794e+01°)
1.12201845430196e+01	(-1.23348458594223e+00dB,-6.82208336577941e+01°)
1.14815362149688e+01	(-1.33569466269305e+00dB,-6.99067460100326e+01°)
