Freq.	V(vout)
1.00000000000000e+00	(-2.46362006040598e-03dB,-5.40869077124116e+00°)
1.02329299228075e+00	(-2.47188895170744e-03dB,-5.53505894027547e+00°)
1.04712854805090e+00	(-2.48095560188992e-03dB,-5.66439792789998e+00°)
1.07151930523761e+00	(-2.49089697407006e-03dB,-5.79677887454012e+00°)
1.09647819614318e+00	(-2.50179745590506e-03dB,-5.93227471491155e+00°)
1.12201845430196e+00	(-2.51374957574625e-03dB,-6.07096022942952e+00°)
1.14815362149688e+00	(-2.52685478788160e-03dB,-6.21291209747892e+00°)
1.17489755493953e+00	(-2.54122433344470e-03dB,-6.35820895263258e+00°)
1.20226443461741e+00	(-2.55698018440435e-03dB,-6.50693143991050e+00°)
1.23026877081238e+00	(-2.57425607852783e-03dB,-6.65916227517762e+00°)
1.25892541179417e+00	(-2.59319865415402e-03dB,-6.81498630678322e+00°)
1.28824955169313e+00	(-2.61396869436112e-03dB,-6.97449057955055e+00°)
1.31825673855641e+00	(-2.63674249107912e-03dB,-7.13776440123147e+00°)
1.34896288259165e+00	(-2.66171334073764e-03dB,-7.30489941154704e+00°)
1.38038426460288e+00	(-2.68909318399967e-03dB,-7.47598965394141e+00°)
1.41253754462275e+00	(-2.71911440360183e-03dB,-7.65113165018368e+00°)
1.44543977074593e+00	(-2.75203179543456e-03dB,-7.83042447795921e+00°)
1.47910838816821e+00	(-2.78812472956633e-03dB,-8.01396985159966e+00°)
1.51356124843621e+00	(-2.82769951946758e-03dB,-8.20187220610906e+00°)
1.54881661891248e+00	(-2.87109201948008e-03dB,-8.39423878465112e+00°)
1.58489319246111e+00	(-2.91867047251976e-03dB,-8.59117972967194e+00°)
1.62181009735893e+00	(-2.97083863201210e-03dB,-8.79280817784111e+00°)
1.65958690743756e+00	(-3.02803918443294e-03dB,-8.99924035900325e+00°)
1.69824365246174e+00	(-3.09075750141987e-03dB,-9.21059569934208e+00°)
1.73780082874937e+00	(-3.15952575297680e-03dB,-9.42699692896838e+00°)
1.77827941003892e+00	(-3.23492741655847e-03dB,-9.64857019415389e+00°)
1.81970085860998e+00	(-3.31760221996697e-03dB,-9.87544517444332e+00°)
1.86208713666287e+00	(-3.40825155964554e-03dB,-1.01077552048870e+01°)
1.90546071796325e+00	(-3.50764444008128e-03dB,-1.03456374036480e+01°)
1.94984459975804e+00	(-3.61662398400361e-03dB,-1.05892328052476e+01°)
1.99526231496888e+00	(-3.73611456828155e-03dB,-1.08386864997242e+01°)
2.04173794466953e+00	(-3.86712964518184e-03dB,-1.10941477779911e+01°)
2.08929613085404e+00	(-4.01078031462563e-03dB,-1.13557702836898e+01°)
2.13796208950223e+00	(-4.16828471906706e-03dB,-1.16237121718438e+01°)
2.18776162394955e+00	(-4.34097833959036e-03dB,-1.18981362746289e+01°)
2.23872113856834e+00	(-4.53032527899380e-03dB,-1.21792102745841e+01°)
2.29086765276777e+00	(-4.73793062590848e-03dB,-1.24671068855952e+01°)
2.34422881531992e+00	(-4.96555400265016e-03dB,-1.27620040419893e+01°)
2.39883291901949e+00	(-5.21512440922458e-03dB,-1.30640850960820e+01°)
2.45470891568503e+00	(-5.48875648631779e-03dB,-1.33735390245263e+01°)
2.51188643150958e+00	(-5.78876833146187e-03dB,-1.36905606438067e+01°)
2.57039578276886e+00	(-6.11770101514592e-03dB,-1.40153508352232e+01°)
2.63026799189538e+00	(-6.47833995695534e-03dB,-1.43481167797052e+01°)
2.69153480392691e+00	(-6.87373833666698e-03dB,-1.46890722027793e+01°)
2.75422870333816e+00	(-7.30724273107213e-03dB,-1.50384376300065e+01°)
2.81838293126445e+00	(-7.78252118465699e-03dB,-1.53964406531786e+01°)
2.88403150312660e+00	(-8.30359394096751e-03dB,-1.57633162075371e+01°)
2.95120922666638e+00	(-8.87486708187827e-03dB,-1.61393068602409e+01°)
3.01995172040201e+00	(-9.50116934378179e-03dB,-1.65246631102641e+01°)
3.09029543251359e+00	(-1.01877924034521e-02dB,-1.69196436998475e+01°)
3.16227766016837e+00	(-1.09405349518651e-02dB,-1.73245159375568e+01°)
3.23593656929628e+00	(-1.17657509016612e-02dB,-1.77395560329173e+01°)
3.31131121482591e+00	(-1.26704021031144e-02dB,-1.81650494424902e+01°)
3.38844156139202e+00	(-1.36621159753681e-02dB,-1.86012912271358e+01°)
3.46736850452531e+00	(-1.47492484927993e-02dB,-1.90485864200621e+01°)
3.54813389233575e+00	(-1.59409530023229e-02dB,-1.95072504050851e+01°)
3.63078054770101e+00	(-1.72472553851191e-02dB,-1.99776093043293e+01°)
3.71535229097172e+00	(-1.86791361161874e-02dB,-2.04600003743548e+01°)
3.80189396320560e+00	(-2.02486198167760e-02dB,-2.09547724094279e+01°)
3.89045144994280e+00	(-2.19688729385599e-02dB,-2.14622861503296e+01°)
3.98107170553496e+00	(-2.38543102631799e-02dB,-2.19829146967256e+01°)
4.07380277804112e+00	(-2.59207109473848e-02dB,-2.25170439206970e+01°)
4.16869383470335e+00	(-2.81853448905935e-02dB,-2.30650728785368e+01°)
4.26579518801592e+00	(-3.06671102489320e-02dB,-2.36274142173559e+01°)
4.36515832240165e+00	(-3.33866829657751e-02dB,-2.42044945723964e+01°)
4.46683592150962e+00	(-3.63666792333490e-02dB,-2.47967549502178e+01°)
4.57088189614874e+00	(-3.96318318409233e-02dB,-2.54046510920855e+01°)
4.67735141287197e+00	(-4.32091814018636e-02dB,-2.60286538109492e+01°)
4.78630092322637e+00	(-4.71282834812628e-02dB,-2.66692492943291e+01°)
4.89778819368445e+00	(-5.14214326664967e-02dB,-2.73269393642348e+01°)
5.01187233627271e+00	(-5.61239046316018e-02dB,-2.80022416838948e+01°)
5.12861383991364e+00	(-6.12742172389854e-02dB,-2.86956898995833e+01°)
5.24807460249771e+00	(-6.69144116952699e-02dB,-2.94078337041662e+01°)
5.37031796370252e+00	(-7.30903547264957e-02dB,-3.01392388071604e+01°)
5.49540873857623e+00	(-7.98520626559416e-02dB,-3.08904867940864e+01°)
5.62341325190348e+00	(-8.72540481488975e-02dB,-3.16621748557040e+01°)
5.75439937337156e+00	(-9.53556902251099e-02dB,-3.24549153653519e+01°)
5.88843655355588e+00	(-1.04221627922576e-01dB,-3.32693352800710e+01°)
6.02559586074356e+00	(-1.13922177716177e-01dB,-3.41060753384994e+01°)
6.16595001861481e+00	(-1.24533774440347e-01dB,-3.49657890257105e+01°)
6.30957344480192e+00	(-1.36139435024671e-01dB,-3.58491412722632e+01°)
6.45654229034654e+00	(-1.48829243812053e-01dB,-3.67568068518040e+01°)
6.60693448007594e+00	(-1.62700857577578e-01dB,-3.76894684386879e+01°)
6.76082975391980e+00	(-1.77860027588375e-01dB,-3.86478142843567e+01°)
6.91830970918935e+00	(-1.94421135127168e-01dB,-3.96325354687782e+01°)
7.07945784384136e+00	(-2.12507735832356e-01dB,-4.06443226812506e+01°)
7.24435960074988e+00	(-2.32253106974474e-01dB,-4.16838624835330e+01°)
7.41310241300916e+00	(-2.53800790385773e-01dB,-4.27518330077960e+01°)
7.58577575029182e+00	(-2.77305122184035e-01dB,-4.38488990425933e+01°)
7.76247116628690e+00	(-3.02931738687805e-01dB,-4.49757064622511e+01°)
7.94328234724279e+00	(-3.30858046022362e-01dB,-4.61328759591353e+01°)
8.12830516164097e+00	(-3.61273638889536e-01dB,-4.73209960445767e+01°)
8.31763771102669e+00	(-3.94380651860479e-01dB,-4.85406152932584e+01°)
8.51138038202374e+00	(-4.30394024408317e-01dB,-4.97922338180147e+01°)
