Freq.	V(vout)
1.00000000000000e+00	(-6.42672638843850e-03dB,-5.96875132074759e+00°)
1.02329299228075e+00	(-6.62140869753188e-03dB,-6.10816700073792e+00°)
1.04712854805090e+00	(-6.82576507264120e-03dB,-6.25085749805118e+00°)
1.07151930523761e+00	(-7.04029950055475e-03dB,-6.39690103258155e+00°)
1.09647819614318e+00	(-7.26554434540227e-03dB,-6.54637778238646e+00°)
1.12201845430196e+00	(-7.50206213052197e-03dB,-6.69936993872779e+00°)
1.14815362149688e+00	(-7.75044744685420e-03dB,-6.85596176303145e+00°)
1.17489755493953e+00	(-8.01132899808180e-03dB,-7.01623964585074e+00°)
1.20226443461741e+00	(-8.28537179295681e-03dB,-7.18029216792352e+00°)
1.23026877081238e+00	(-8.57327949730499e-03dB,-7.34821016341728e+00°)
1.25892541179417e+00	(-8.87579695807901e-03dB,-7.52008678546139e+00°)
1.28824955169313e+00	(-9.19371291359603e-03dB,-7.69601757407036e+00°)
1.31825673855641e+00	(-9.52786290485690e-03dB,-7.87610052656745e+00°)
1.34896288259165e+00	(-9.87913240512256e-03dB,-8.06043617062279e+00°)
1.38038426460288e+00	(-1.02484601846984e-02dB,-8.24912764002625e+00°)
1.41253754462275e+00	(-1.06368419312401e-02dB,-8.44228075332054e+00°)
1.44543977074593e+00	(-1.10453341463146e-02dB,-8.64000409542598e+00°)
1.47910838816821e+00	(-1.14750583415214e-02dB,-8.84240910239485e+00°)
1.51356124843621e+00	(-1.19272055588945e-02dB,-9.04961014943868e+00°)
1.54881661891248e+00	(-1.24030412432594e-02dB,-9.26172464237879e+00°)
1.58489319246111e+00	(-1.29039104961235e-02dB,-9.47887311267634e+00°)
1.62181009735893e+00	(-1.34312437430123e-02dB,-9.70117931620512e+00°)
1.65958690743756e+00	(-1.39865628500140e-02dB,-9.92877033593608e+00°)
1.69824365246174e+00	(-1.45714877272729e-02dB,-1.01617766887096e+01°)
1.73780082874937e+00	(-1.51877434613275e-02dB,-1.04003324362780e+01°)
1.77827941003892e+00	(-1.58371680214268e-02dB,-1.06445753008060e+01°)
1.81970085860998e+00	(-1.65217205892988e-02dB,-1.08946467850239e+01°)
1.86208713666287e+00	(-1.72434905659326e-02dB,-1.11506922972337e+01°)
1.90546071796325e+00	(-1.80047073134543e-02dB,-1.14128612813719e+01°)
1.94984459975804e+00	(-1.88077506965920e-02dB,-1.16813073523400e+01°)
1.99526231496888e+00	(-1.96551624915314e-02dB,-1.19561884368147e+01°)
2.04173794466953e+00	(-2.05496587383782e-02dB,-1.22376669197542e+01°)
2.08929613085404e+00	(-2.14941431187226e-02dB,-1.25259097968181e+01°)
2.13796208950223e+00	(-2.24917214471701e-02dB,-1.28210888329183e+01°)
2.18776162394955e+00	(-2.35457173738886e-02dB,-1.31233807271167e+01°)
2.23872113856834e+00	(-2.46596894026811e-02dB,-1.34329672840832e+01°)
2.29086765276777e+00	(-2.58374493400397e-02dB,-1.37500355923180e+01°)
2.34422881531992e+00	(-2.70830822978844e-02dB,-1.40747782093378e+01°)
