Freq.	V(vout)
1.00000000000000e+000	(-2.80065850953352e-005dB,1.79897028589444e+002°)
1.02329299228075e+000	(-2.85027173082876e-005dB,1.79894630080518e+002°)
1.04712854805090e+000	(-2.90222314616742e-005dB,1.79892175703382e+002°)
1.07151930523761e+000	(-2.95662294927227e-005dB,1.79889664156714e+002°)
1.09647819614318e+000	(-3.01358652914960e-005dB,1.79887094108884e+002°)
1.12201845430196e+000	(-3.07323471252698e-005dB,1.79884464197245e+002°)
1.14815362149688e+000	(-3.13569402037070e-005dB,1.79881773027408e+002°)
1.17489755493953e+000	(-3.20109693472214e-005dB,1.79879019172512e+002°)
1.20226443461741e+000	(-3.26958218433918e-005dB,1.79876201172457e+002°)
1.23026877081238e+000	(-3.34129503284552e-005dB,1.79873317533137e+002°)
1.25892541179417e+000	(-3.41638759185690e-005dB,1.79870366725644e+002°)
1.28824955169313e+000	(-3.49501914095485e-005dB,1.79867347185460e+002°)
1.31825673855641e+000	(-3.57735646636934e-005dB,1.79864257311628e+002°)
1.34896288259165e+000	(-3.66357421518816e-005dB,1.79861095465899e+002°)
1.38038426460288e+000	(-3.75385526335714e-005dB,1.79857859971871e+002°)
1.41253754462275e+000	(-3.84839110740424e-005dB,1.79854549114093e+002°)
1.44543977074593e+000	(-3.94738226735103e-005dB,1.79851161137159e+002°)
1.47910838816821e+000	(-4.05103871431244e-005dB,1.79847694244779e+002°)
1.51356124843621e+000	(-4.15958031429883e-005dB,1.79844146598824e+002°)
1.54881661891248e+000	(-4.27323729477789e-005dB,1.79840516318354e+002°)
1.58489319246111e+000	(-4.39225073341805e-005dB,1.79836801478618e+002°)
1.62181009735893e+000	(-4.51687306930274e-005dB,1.79833000110038e+002°)
1.65958690743756e+000	(-4.64736863921952e-005dB,1.79829110197162e+002°)
1.69824365246174e+000	(-4.78401423622765e-005dB,1.79825129677595e+002°)
1.73780082874937e+000	(-4.92709969783326e-005dB,1.79821056440911e+002°)
1.77827941003892e+000	(-5.07692852242238e-005dB,1.79816888327528e+002°)
1.81970085860998e+000	(-5.23381850913037e-005dB,1.79812623127568e+002°)
1.86208713666287e+000	(-5.39810243599881e-005dB,1.79808258579684e+002°)
1.90546071796325e+000	(-5.57012876243740e-005dB,1.79803792369861e+002°)
1.94984459975804e+000	(-5.75026237132408e-005dB,1.79799222130192e+002°)
1.99526231496888e+000	(-5.93888533965395e-005dB,1.79794545437621e+002°)
2.04173794466953e+000	(-6.13639775200960e-005dB,1.79789759812660e+002°)
2.08929613085404e+000	(-6.34321854643855e-005dB,1.79784862718074e+002°)
2.13796208950223e+000	(-6.55978640469600e-005dB,1.79779851557538e+002°)
2.18776162394955e+000	(-6.78656068251409e-005dB,1.79774723674260e+002°)
2.23872113856834e+000	(-7.02402238288756e-005dB,1.79769476349576e+002°)
2.29086765276777e+000	(-7.27267517661987e-005dB,1.79764106801503e+002°)
2.34422881531992e+000	(-7.53304647157679e-005dB,1.79758612183273e+002°)
2.39883291901949e+000	(-7.80568852939478e-005dB,1.79752989581820e+002°)
2.45470891568503e+000	(-8.09117963861349e-005dB,1.79747236016236e+002°)
2.51188643150958e+000	(-8.39012533902582e-005dB,1.79741348436197e+002°)
2.57039578276886e+000	(-8.70315970775805e-005dB,1.79735323720340e+002°)
2.63026799189538e+000	(-9.03094670351324e-005dB,1.79729158674616e+002°)
2.69153480392691e+000	(-9.37418157389716e-005dB,1.79722850030592e+002°)
2.75422870333816e+000	(-9.73359233045732e-005dB,1.79716394443726e+002°)
2.81838293126445e+000	(-1.01099412929795e-004dB,1.79709788491590e+002°)
2.88403150312660e+000	(-1.05040267055508e-004dB,1.79703028672060e+002°)
2.95120922666638e+000	(-1.09166844295023e-004dB,1.79696111401463e+002°)
3.01995172040201e+000	(-1.13487897155475e-004dB,1.79689033012675e+002°)
3.09029543251359e+000	(-1.18012590607129e-004dB,1.79681789753181e+002°)
3.16227766016837e+000	(-1.22750521521836e-004dB,1.79674377783090e+002°)
3.23593656929628e+000	(-1.27711739009608e-004dB,1.79666793173097e+002°)
3.31131121482591e+000	(-1.32906765727591e-004dB,1.79659031902409e+002°)
3.38844156139202e+000	(-1.38346620223191e-004dB,1.79651089856609e+002°)
3.46736850452531e+000	(-1.44042840261245e-004dB,1.79642962825485e+002°)
3.54813389233575e+000	(-1.50007507321384e-004dB,1.79634646500796e+002°)
3.63078054770101e+000	(-1.56253272173083e-004dB,1.79626136473994e+002°)
3.71535229097172e+000	(-1.62793381764669e-004dB,1.79617428233891e+002°)
3.80189396320560e+000	(-1.69641707247987e-004dB,1.79608517164270e+002°)
3.89045144994280e+000	(-1.76812773442505e-004dB,1.79599398541443e+002°)
3.98107170553496e+000	(-1.84321789574048e-004dB,1.79590067531753e+002°)
4.07380277804112e+000	(-1.92184681591995e-004dB,1.79580519189015e+002°)
4.16869383470335e+000	(-2.00418125875028e-004dB,1.79570748451899e+002°)
4.26579518801592e+000	(-2.09039584629308e-004dB,1.79560750141254e+002°)
4.36515832240165e+000	(-2.18067342884645e-004dB,1.79550518957368e+002°)
4.46683592150962e+000	(-2.27520547274893e-004dB,1.79540049477167e+002°)
4.57088189614874e+000	(-2.37419246632579e-004dB,1.79529336151344e+002°)
4.67735141287197e+000	(-2.47784434459603e-004dB,1.79518373301429e+002°)
4.78630092322637e+000	(-2.58638093498835e-004dB,1.79507155116783e+002°)
4.89778819368445e+000	(-2.70003242257286e-004dB,1.79495675651531e+002°)
5.01187233627271e+000	(-2.81903983862902e-004dB,1.79483928821415e+002°)
5.12861383991364e+000	(-2.94365557117246e-004dB,1.79471908400585e+002°)
5.24807460249771e+000	(-3.07414390019113e-004dB,1.79459608018304e+002°)
5.37031796370252e+000	(-3.21078155766032e-004dB,1.79447021155587e+002°)
5.49540873857623e+000	(-3.35385831420990e-004dB,1.79434141141753e+002°)
5.62341325190348e+000	(-3.50367759324658e-004dB,1.79420961150911e+002°)
5.75439937337156e+000	(-3.66055711403848e-004dB,1.79407474198347e+002°)
5.88843655355588e+000	(-3.82482956506709e-004dB,1.79393673136843e+002°)
6.02559586074356e+000	(-3.99684330893236e-004dB,1.79379550652905e+002°)
6.16595001861481e+000	(-4.17696312090754e-004dB,1.79365099262902e+002°)
6.30957344480192e+000	(-4.36557096165878e-004dB,1.79350311309121e+002°)
6.45654229034654e+000	(-4.56306678667998e-004dB,1.79335178955727e+002°)
6.60693448007594e+000	(-4.76986939374962e-004dB,1.79319694184633e+002°)
6.76082975391980e+000	(-4.98641731021825e-004dB,1.79303848791272e+002°)
6.91830970918935e+000	(-5.21316972218681e-004dB,1.79287634380279e+002°)
7.07945784384136e+000	(-5.45060744731784e-004dB,1.79271042361060e+002°)
7.24435960074988e+000	(-5.69923395318666e-004dB,1.79254063943277e+002°)
7.41310241300916e+000	(-5.95957642395760e-004dB,1.79236690132216e+002°)
7.58577575029182e+000	(-6.23218687707177e-004dB,1.79218911724053e+002°)
7.76247116628690e+000	(-6.51764333224129e-004dB,1.79200719301014e+002°)
7.94328234724279e+000	(-6.81655103579801e-004dB,1.79182103226421e+002°)
8.12830516164097e+000	(-7.12954374215336e-004dB,1.79163053639629e+002°)
8.31763771102669e+000	(-7.45728505625860e-004dB,1.79143560450842e+002°)
8.51138038202374e+000	(-7.80046983809138e-004dB,1.79123613335814e+002°)
8.70963589956078e+000	(-8.15982567437189e-004dB,1.79103201730428e+002°)
8.91250938133743e+000	(-8.53611441848909e-004dB,1.79082314825157e+002°)
9.12010839355907e+000	(-8.93013380337076e-004dB,1.79060941559389e+002°)
9.33254300796988e+000	(-9.34271912993989e-004dB,1.79039070615631e+002°)
9.54992586021433e+000	(-9.77474503489174e-004dB,1.79016690413581e+002°)
9.77237220955808e+000	(-1.02271273416436e-003dB,1.78993789104061e+002°)
9.99999999999997e+000	(-1.07008249980513e-003dB,1.78970354562818e+002°)
1.02329299228075e+001	(-1.11968421054336e-003dB,1.78946374384183e+002°)
1.04712854805090e+001	(-1.17162300423790e-003dB,1.78921835874587e+002°)
1.07151930523760e+001	(-1.22600896889233e-003dB,1.78896726045928e+002°)
1.09647819614318e+001	(-1.28295737545098e-003dB,1.78871031608796e+002°)
1.12201845430196e+001	(-1.34258892156670e-003dB,1.78844738965540e+002°)
1.14815362149688e+001	(-1.40502998678253e-003dB,1.78817834203183e+002°)
1.17489755493953e+001	(-1.47041289968289e-003dB,1.78790303086175e+002°)
1.20226443461741e+001	(-1.53887621761090e-003dB,1.78762131048988e+002°)
1.23026877081238e+001	(-1.61056501945040e-003dB,1.78733303188546e+002°)
1.25892541179416e+001	(-1.68563121218040e-003dB,1.78703804256484e+002°)
1.28824955169313e+001	(-1.76423385175955e-003dB,1.78673618651239e+002°)
1.31825673855640e+001	(-1.84653947909499e-003dB,1.78642730409961e+002°)
1.34896288259165e+001	(-1.93272247170581e-003dB,1.78611123200253e+002°)
1.38038426460288e+001	(-2.02296541186674e-003dB,1.78578780311726e+002°)
1.41253754462275e+001	(-2.11745947201011e-003dB,1.78545684647362e+002°)
1.44543977074592e+001	(-2.21640481815999e-003dB,1.78511818714703e+002°)
1.47910838816820e+001	(-2.32001103219399e-003dB,1.78477164616833e+002°)
1.51356124843620e+001	(-2.42849755394918e-003dB,1.78441704043177e+002°)
1.54881661891248e+001	(-2.54209414391983e-003dB,1.78405418260087e+002°)
1.58489319246111e+001	(-2.66104136761722e-003dB,1.78368288101241e+002°)
1.62181009735892e+001	(-2.78559110253623e-003dB,1.78330293957823e+002°)
1.65958690743755e+001	(-2.91600706885219e-003dB,1.78291415768497e+002°)
1.69824365246174e+001	(-3.05256538482817e-003dB,1.78251633009172e+002°)
1.73780082874937e+001	(-3.19555514816435e-003dB,1.78210924682545e+002°)
1.77827941003892e+001	(-3.34527904447436e-003dB,1.78169269307422e+002°)
1.81970085860998e+001	(-3.50205398410682e-003dB,1.78126644907820e+002°)
1.86208713666286e+001	(-3.66621176865916e-003dB,1.78083029001842e+002°)
1.90546071796324e+001	(-3.83809978849933e-003dB,1.78038398590313e+002°)
1.94984459975804e+001	(-4.01808175277012e-003dB,1.77992730145191e+002°)
1.99526231496887e+001	(-4.20653845335087e-003dB,1.77945999597734e+002°)
2.04173794466952e+001	(-4.40386856432435e-003dB,1.77898182326431e+002°)
2.08929613085403e+001	(-4.61048947856957e-003dB,1.77849253144685e+002°)
2.13796208950222e+001	(-4.82683818321662e-003dB,1.77799186288253e+002°)
2.18776162394954e+001	(-5.05337217568274e-003dB,1.77747955402429e+002°)
2.23872113856833e+001	(-5.29057042218988e-003dB,1.77695533528986e+002°)
2.29086765276776e+001	(-5.53893436066038e-003dB,1.77641893092848e+002°)
2.34422881531991e+001	(-5.79898895003796e-003dB,1.77587005888517e+002°)
2.39883291901948e+001	(-6.07128376812412e-003dB,1.77530843066232e+002°)
2.45470891568502e+001	(-6.35639416009264e-003dB,1.77473375117871e+002°)
2.51188643150957e+001	(-6.65492244008926e-003dB,1.77414571862581e+002°)
2.57039578276885e+001	(-6.96749914812352e-003dB,1.77354402432150e+002°)
2.63026799189537e+001	(-7.29478436493745e-003dB,1.77292835256112e+002°)
2.69153480392690e+001	(-7.63746908729924e-003dB,1.77229838046574e+002°)
2.75422870333815e+001	(-7.99627666653862e-003dB,1.77165377782786e+002°)
2.81838293126444e+001	(-8.37196431307142e-003dB,1.77099420695434e+002°)
2.88403150312659e+001	(-8.76532466989396e-003dB,1.77031932250669e+002°)
2.95120922666637e+001	(-9.17718745810711e-003dB,1.76962877133862e+002°)
3.01995172040200e+001	(-9.60842119765868e-003dB,1.76892219233096e+002°)
3.09029543251358e+001	(-1.00599350065909e-002dB,1.76819921622388e+002°)
3.16227766016837e+001	(-1.05326804823435e-002dB,1.76745946544652e+002°)
3.23593656929627e+001	(-1.10276536685892e-002dB,1.76670255394394e+002°)
3.31131121482590e+001	(-1.15458971114404e-002dB,1.76592808700156e+002°)
3.38844156139201e+001	(-1.20885020088394e-002dB,1.76513566106700e+002°)
3.46736850452530e+001	(-1.26566104572912e-002dB,1.76432486356948e+002°)
3.54813389233574e+001	(-1.32514177999457e-002dB,1.76349527273674e+002°)
3.63078054770100e+001	(-1.38741750806120e-002dB,1.76264645740966e+002°)
3.71535229097171e+001	(-1.45261916080640e-002dB,1.76177797685451e+002°)
3.80189396320559e+001	(-1.52088376354428e-002dB,1.76088938057307e+002°)
3.89045144994279e+001	(-1.59235471595227e-002dB,1.75998020811061e+002°)
3.98107170553495e+001	(-1.66718208450178e-002dB,1.75904998886186e+002°)
4.07380277804111e+001	(-1.74552290790557e-002dB,1.75809824187520e+002°)
4.16869383470333e+001	(-1.82754151612488e-002dB,1.75712447565502e+002°)
4.26579518801591e+001	(-1.91340986350505e-002dB,1.75612818796256e+002°)
4.36515832240164e+001	(-2.00330787660713e-002dB,1.75510886561532e+002°)
4.46683592150961e+001	(-2.09742381734127e-002dB,1.75406598428535e+002°)
4.57088189614873e+001	(-2.19595466201985e-002dB,1.75299900829637e+002°)
4.67735141287196e+001	(-2.29910649696218e-002dB,1.75190739042026e+002°)
4.78630092322636e+001	(-2.40709493131843e-002dB,1.75079057167299e+002°)
4.89778819368444e+001	(-2.52014552777684e-002dB,1.74964798111020e+002°)
5.01187233627270e+001	(-2.63849425185852e-002dB,1.74847903562302e+002°)
5.12861383991362e+001	(-2.76238794051274e-002dB,1.74728313973403e+002°)
5.24807460249770e+001	(-2.89208479074853e-002dB,1.74605968539417e+002°)
5.37031796370250e+001	(-3.02785486905063e-002dB,1.74480805178055e+002°)
