Freq.	V(vout)
1.00000000000000e+000	(-1.38746763918576e-004dB,-4.21263650815947e-002°)
1.02329299228075e+000	(-1.38488578725766e-004dB,-4.31076156424094e-002°)
1.04712854805090e+000	(-1.38218225639495e-004dB,-4.41117225696778e-002°)
1.07151930523761e+000	(-1.37935131206750e-004dB,-4.51392182640565e-002°)
1.09647819614318e+000	(-1.37638694945084e-004dB,-4.61906475279423e-002°)
1.12201845430196e+000	(-1.37328288070663e-004dB,-4.72665678543835e-002°)
1.14815362149688e+000	(-1.37003252170377e-004dB,-4.83675497227248e-002°)
1.17489755493953e+000	(-1.36662897807423e-004dB,-4.94941769011409e-002°)
1.20226443461741e+000	(-1.36306503035263e-004dB,-5.06470467562204e-002°)
1.23026877081238e+000	(-1.35933311889418e-004dB,-5.18267705697632e-002°)
1.25892541179417e+000	(-1.35542532802108e-004dB,-5.30339738629628e-002°)
1.28824955169313e+000	(-1.35133336848134e-004dB,-5.42692967281413e-002°)
1.31825673855641e+000	(-1.34704856088169e-004dB,-5.55333941682173e-002°)
1.34896288259165e+000	(-1.34256181657453e-004dB,-5.68269364440848e-002°)
1.38038426460288e+000	(-1.33786361853537e-004dB,-5.81506094300879e-002°)
1.41253754462275e+000	(-1.33294400117948e-004dB,-5.95051149777821e-002°)
1.44543977074593e+000	(-1.32779252949389e-004dB,-6.08911712881728e-002°)
1.47910838816821e+000	(-1.32239827637573e-004dB,-6.23095132926305e-002°)
1.51356124843621e+000	(-1.31674980006711e-004dB,-6.37608930426850e-002°)
1.54881661891248e+000	(-1.31083511914057e-004dB,-6.52460801089068e-002°)
1.58489319246111e+000	(-1.30464168802458e-004dB,-6.67658619890849e-002°)
1.62181009735893e+000	(-1.29815636944327e-004dB,-6.83210445259215e-002°)
1.65958690743756e+000	(-1.29136540728050e-004dB,-6.99124523344642e-002°)
1.69824365246174e+000	(-1.28425439688843e-004dB,-7.15409292395017e-002°)
1.73780082874937e+000	(-1.27680825500091e-004dB,-7.32073387231606e-002°)
1.77827941003892e+000	(-1.26901118727453e-004dB,-7.49125643829339e-002°)
1.81970085860998e+000	(-1.26084665508730e-004dB,-7.66575104003927e-002°)
1.86208713666287e+000	(-1.25229734034120e-004dB,-7.84431020208265e-002°)
1.90546071796325e+000	(-1.24334510884726e-004dB,-8.02702860440658e-002°)
1.94984459975804e+000	(-1.23397097180136e-004dB,-8.21400313267561e-002°)
1.99526231496888e+000	(-1.22415504522539e-004dB,-8.40533292963389e-002°)
2.04173794466953e+000	(-1.21387650839597e-004dB,-8.60111944770273e-002°)
2.08929613085404e+000	(-1.20311355907174e-004dB,-8.80146650280438e-002°)
2.13796208950223e+000	(-1.19184336769856e-004dB,-9.00648032944166e-002°)
2.18776162394955e+000	(-1.18004202854836e-004dB,-9.21626963706230e-002°)
2.23872113856834e+000	(-1.16768450952730e-004dB,-9.43094566773830e-002°)
2.29086765276777e+000	(-1.15474459869584e-004dB,-9.65062225519080e-002°)
2.34422881531992e+000	(-1.14119484863848e-004dB,-9.87541588519244e-002°)
2.39883291901949e+000	(-1.12700651869295e-004dB,-1.01054457573789e-001°)
2.45470891568503e+000	(-1.11214951339954e-004dB,-1.03408338485031e-001°)
2.51188643150958e+000	(-1.09659231919548e-004dB,-1.05817049771654e-001°)
2.57039578276886e+000	(-1.08030193711748e-004dB,-1.08281868700550e-001°)
